Observation,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:36:00,09:37:00,09:38:00,09:39:00,09:40:00,09:41:00,09:42:00,09:43:00,09:44:00,09:45:00,09:46:00,09:47:00,09:48:00,09:49:00,09:50:00,09:51:00,09:52:00,09:53:00,09:54:00,09:55:00,09:56:00,09:57:00,09:58:00,09:59:00,10:00:00
TSLA_range,E,C,E,C,E,S,E,C,S,E,C,E,C,E,C,E,C,E,C,E,S,E,C,S,E,C,C,E,E,C,E
TSLA_volume,D,D,D,D,D,S,S,S,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,S,S,S,S,S,D
MSFT_range,E,C,C,C,E,C,E,C,S,C,E,C,S,S,E,S,C,E,C,S,S,C,S,E,C,S,C,S,S,S,E
MSFT_volume,D,D,D,D,D,D,D,D,D,D,S,S,S,S,S,S,S,S,S,S,D,D,D,D,D,I,I,I,I,I,D
AAPL_range,E,S,S,C,E,C,S,S,S,S,S,S,S,S,S,S,C,S,S,E,C,S,C,S,S,S,C,S,S,S,E
AAPL_volume,D,D,D,D,D,D,D,D,D,D,S,S,S,S,S,D,D,D,D,D,D,D,D,D,D,S,S,S,S,S,D
QQQ_range,E,E,C,S,E,C,S,C,C,S,S,C,E,C,S,E,C,S,E,S,S,S,C,E,S,S,C,S,S,S,E
QQQ_volume,D,D,D,D,D,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,D,D,D,D,D,S,S,S,S,S,D
VXX_range,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,E
VXX_volume,D,D,D,D,D,S,S,S,S,S,D,D,D,D,D,S,S,S,S,S,D,D,D,D,D,S,S,S,S,S,S
AMZN_range,E,S,E,C,E,S,S,C,E,C,E,S,S,S,E,C,S,S,E,C,S,S,C,S,S,S,C,S,S,S,E
AMZN_volume,D,D,D,D,D,D,D,D,D,D,S,S,S,S,S,D,D,D,D,D,D,D,D,D,D,S,S,S,S,S,D
NDX_volatility,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,N,N,N,N,N,N,N,N,L,L,N,N,N,N
